review,label
"The Hunt Club Luxury Condo Near Markville Mall, 1100 Sqft Spacious 1 Bedroom 2 Washroom W/Large Kitchen-Living-Dining-Master-Walk In Closet & 5 Pc Ensuite, Clean Move In Condition. Close To Hwy 407/404, Amazing Facilities Such As Indoor/Outdoor Pool, Grand Lobby, 24 Hr Concierge, Guest Suites, Visitors Parking, Tennis Court, Party Room, Billiard Room.",0
"Quiet And Convenient Living At Pemberton's Downtown Erin Mills, Bright Unit W/9' Smooth Ceiling, Laminate Flooring Throughout. Set In Beautifully Landscaped Grounds, South East Unobstructed View Of The Lake, Square One And Downtown Skyline. Walking Distance To Erin Mills Town Centre, Restaurants, Schools, Public Transit, Credit Valley Hospital. Easy Access To Hwy 403, 407.",0
"Blue Diamond At Avenue Road And St. Clair - Distinctly Forest Hill! This Master-Planned Community Offers, Nestled Among Toronto's Most Prestigious Neighbourhoods: Forest Hill,Deer Park,Summerhill & More! With A Carefully Preserved Historical Fa?ade, Stunning Courtyard Street-Level Retail (Longos,Loblaws,Lcbo,Starbucks,Banks & More) + Easy Ttc Access",0
"Luxury Tridel Newly Built Selene Condos, Spacious Large 1 Bedroom, Big Living Room Space Can Be Used As A Second Bedroom Or Work Space. Large Balcony And Great Unobstructed East City Views. Minutes To 401, Ttc, Kennedy Commons, Scarborough Town Center, U T Campus.Outdoor Patio, Guestsuites, Party Room, Media, Theater Room, Visitor Parking, And 24/7 Concierge. No Smokers, No Pets.",0
"Gorgeous South Facing Corner Unit W/Unobstructed View. Great Central Location & Just Steps To Cooksville Station Go And Public Transit. Large Condo With Over 1,250Sqft. Den Can Be Used As 3rd Bedroom. Close To All Shopping And Good Schools. Looking For Good Qualified Tenants. Ideal For Large Growing Family. Do Not Miss This Centrally Located Condo. Will Not Last!",0
"Beautiful, Bright And Spacious Unit*New Floors Throughout - 2021 (Laminate And Ceramic). Painted In 2021. Renovated Kitchen And Bathroom. Huge Balcony Offering A Panoramic View. Ample Storage Space*Free Laundry Facilities On Each Floor*Conveniently Located Near Public Transportation, Schools, Community Center, Shopping, Library, Park And More. Underground Parking And Exterior Locker Are Included.",0
Gorgeous 1+Den in Fort York With Wrap-Around balcony!$1900.00 1 Bed + Den 1 Bath 560 sq/ft wrap around balcony contemporary boutique atmosphere designed to merge lakefront living with downtown style open-concept layouts floor-to-ceiling windows laminate flooring granite kitchen counters with an island and stainless Steel Apps. Nearby attractions such as the Harbourfront Centre Molson Canadian Amphitheatre and the Canadian National Exhibition or CNE.Discounted Bell Cable Phone & Internet (Throughout the Term at Additional Cost),0
"Immaculate 1044 Sq Ft Corner Open Concept Condo In Amica's Mature Lifestyle Community At City Centre. Well Designed Floor Plan Features 2 Spacious Bedrooms With Closet Organizers, 2 Full Baths, 9' Ceilings And Wrap Around Balcony. Sun Drenched Rooms, Ceramic Floors In Kitchen & All Baths. Large Living & Kitchen Area W/ Granite Counter, Ensuite Laundry. Gorgeous Gleaming Hardwood Floors All Throughout. Underground Parking, Locker Same Level As Unit, Plenty Of Storage. 5 Star Amenities Include A Concierge, Security Guard, Home Theatre, Wellness Centre, Aqua Sized Indoor Pool, Shuttle Bus, Beauty Salon, Optional Fine Dining, Morning & Afternoon Coffee/Tea Sessions.",0
"Modern Building Higher Floor Bachelor Unit Easy To Maintain Board East View And Bright 1 Locker Included Galley Kitchen With Quartz Countertop Close To All Amenities: Fairview Shopping Mall Cinemas, Cinema, Banks, Grocery Markets, Library, And Eatery, Easy To Travel By Ttc And Subway Few Minutes To Dvp And 401 Highway.",0
"Beautiful, Bright, Sun Filled And Spacious Corner Unit With 2 Bedrooms, Den, 2 Full Baths, And A Large Balcony. 24Hrs Security & Gatehouse, Fabulous Rec Facilities. Walk To Public Transit, Parks, Schools, Library, Supermarket, Plaza, Community Centre. Non-Smokers Only. **No Pets**",0
"Spacious And Bright, 2+Den Condo. R*A*R*E* Two Full Washrooms. Amazing Location With Schools, Parks, Public Transit And Major Highways Right At Your Doorstep. Den Can Be Used As Home Office. Customized Premium Closet In Primary Bedroom. W/O Balcony. Granite Countertops. Baths W/Marble Vanities. Glass Balcony Windows. Wonderful View Overlooking Centennial Park. Includes Rogers Cable*. Ensuite Storage.",0
"Live In The Heart Of Port Credit; Walk To The Go, Waterfront, Several Shops, Parks & Trails. SW Views Of The Lake From An Open Balcony; Functional Open Concept Living With An Extra Den (Or 3rd Bedroom) To Accommodate Work From Home. Primary Suite Feat. Custom W/In Closet, Ensuite Bath W/Soaker Tub & Glass Enclosed Shower. Upgraded Kitchen W/Natural Stone Counters & S/S Appliances. Short Term W/Furnishings Included, If Desired.",0
"Quality Finished, 2Bed 2Bath Se Bright Exposure Corner Suite Located In The Ent. District At Adelaide/John. Live At The Bond In This Premium Quality Unit W/ Luxury Finishes To Match Your Lifestyle, Laminate Floors, 9 Ft Ceiling, Floor To Ceiling Windows, Built-In Kitchen Appliances, Stone Counters, Healthy Stock Of Amenities Include: Concierge, Exercise Room, Games Room, Golf Simulator, Outdoor Pool, Party/Meeting. Available 1st Of December 2022.",0
"Brand New Presigious Boutique Building Located At The Corner Of Bedford Park & Avenue Rd. This Never Been Lived In, Bright & Airy Corner Unit With Large Wrap Around Balcony Offers Two Large Bedrooms W/Ensuites Off Both Plus Powder Room. Beautiful Entertainers Kitchen W/ Wine Fridge, Built-In Fridge/Freezer, Gas Stove, Quartz Island & Ample Storage.",0
"Welcome To Luxury Living. This Brand New 2 Bed, 3 Bath Suite Is Located Right In The Heart Of Yorkville. Equipped With 10'Ceilings, Unobstructed Se Views, Smart Thermostats, Keyless Entry, Closet Organizers, Heated Floors In The Master Bath And Hardwood Throughout. The Kitchen Was Built To Entertain With Granite Counters, A Large Kitchen Island, Bosch Appliances, And A Wine Cellar. Quick Access To Groceries, Transit, Restaurants And More.",0
"Lake View, Bright, Corner - Spacious (1380 Sq Ft) 2 Bedroom 2 Bath Suite. Note: This Is A No Pets Building. New Eat In Kitchen - Granite Countertops, Dishwasher, Built In Microwave. New ""Wood"" Floors In Bedrooms And Hallways. Laundry Room Featuring Full Sized Washer/Dryer In Suite. Shuttle Busses Run Regularly Throughout The Downtown Core (Schedules Posted). Balcony For Al Fresco Dining.",0
"Modern 2 Bedroom And 2 Bathroom Corner Unit. 1006 Sq Ft & Balcony. Fabulous Open Concept. Huge Windows Provide Tons Of Natural Light. Chef's Kitchen W/Island & Ss Appliances. 2 Beautiful Bathrooms. Ensuite Features An Oversized Shower W/Glass Surround, Huge Vanity W/2 Sinks. Convenient Main Floor Unit W/Underground Parking & Oversized Locker. Great Location, Go Bus At The Corner, Close To Schools, Shopping , Dt Milton & Trails.",1
"**Wow** Great 2nd Level Down Penthouse Suite ** Split 2 Bdrm Layout ** Each W/Own Ensuite 4 Pc. Bath ** Plus A Large Den (Been Used As 3rd Bdrm) *Has 2 Pc. Powder Rm Too ! *Great West & South/West Views * Various Updates Thru-Out & Very Well Kept. * Great Building W/Many Amenities Like Indoor Pool, Exercise Rm, Party Rm, Badminton Court, Billiard Rm., Library Rm, Guest Ste.* Over 1,000 Sq.F. Unit ! *9' Ceilings!",0
